id,nama_sekolah,alamat,kontak,nspn
1,SMA Gilimandala,Jln. Kutilang,-,50103364
2,SMAN 1 Dawan,Jl. Raya Gunaksa,-,50103365
3,SMA Muhammadiyah 2,Jl.Camar Nomor 8,-,50100393
4,MA Manbaul Ulum,Jl. Gunung Agung  No.135,-,50100910
5,SMA PGRI Klungkung,Jln. N Plamboyant No. 57,-,50102382
6,SMA PGRI 1 Denpasar,Jl. T.Gerinding,-,50103175
7,SMA PGRI Gerokgak,Jalan Seririt - Gilimanuk,-,50100378
8,SMAN 1 Kubutambahan,Desa Tamblang. Kec. Kubutambahan,-,50100391
9,SMA Vijaya Kusuma,Jl. Letda Md. Putra Ps,-,50103128
10,SMA Dyatmika Denpasar,Jln.Pucuk Bang Br.Tangtu,-,50103182
11,SMA Dwijendra Denpasar,Jl. Kamboja Dps,-,50103183
12,SMAN 1 Singaraja,Jln Pramuka No. 4 Singaraja,-,50100337
13,SMA Saraswati Singaraja,Jln.Bisma No. 4 Singaraja,-,50100382
14,SMA Bhaktiyasa Singaraja,-,-,50100408
15,SMAN 1 Pekutatan,Jl. Pekutatan-Pupuan,-,50100842
16,MAN Mendoyo,Jl. Denpasar - Gilimanuk,-,50100911
17,SMA Parisada Amlapura,Jln. Ngurah Rai,-,50102786
18,SMA Lab IKIP N Singaraja,Jl.Udayana No.11 Singaraja,-,50100394
19,SMA Tunas Daud,Jl. Kebo Iwa Utara No. 8 Telp.(0361) 421 241,-,50103877
20,SMA Sutha Dharma,Jl. Denpasar-Gilimanuk,-,50100846
21,SMAN 4 Singaraja,Jalan Melati Singaraja,-,50100287
22,SMAN 5 Denpasar,Jl. Sanitasi No. 2 Sidakarya,-,50103122
23,SMA Udayana Tejakula,Desa Tejakula. Kec. Tejakula,-,50100386
24,SMAN 1 Melaya,Jl. Raya Negara - Gilimanuk,-,50100845
25,SMA PGRI Pekutatan,Jl. Arjuna No. 1,-,50100848
26,SMA Ngurah Rai Kerobokan,Jl. Raya Canggu-Kerobokan,-,50101697
27,SMA Pandawa Abiansemal,Jl. Abiansemal,-,50101698
28,SMA Dwijendra Bualu,Jl. By Pas Ngurah Rai,-,50101699
29,SMA TaMAN Sastra,Jl. By Pas Ngurah Rai,-,50101700
30,SMA Widya Berata,Jl. Gst. Ngr. Rai No.3 Mengwi,-,50101702
31,SMA Widya Buana,Jl. Raya Munggu,-,50101703
32,SMAN 1 Kuta,Jl. Kubu Anyar-Kuta,-,50101705
33,SMAN 1 Kuta Selatan,Jl. Ketut Jetung,-,50101706
34,SMA Ayodhya Pura Selat,Desa Selat. Kec. Sukasada. Kab. Buleleng,-,50100407
35,SMAN 2 Bangli,Jl. Nusantara. Kubu Bangli,-,50102575
36,SMAN 1 Banjar,-,-,50100388
37,SMAN 7 Denpasar,Jl. Kamboja No. 9 Denpasar,-,50103120
38,SMA Sumerta Denpasar,Jl. Akasia No. 16 Tanjung Bungkak,-,50103169
39,SMA Candimas,Pancasari,-,50100409
40,SMA PGRI 2 Gianyar,Jl. Astina Jaya Blahbatuh,-,50102093
41,SMAN 1 Tegallalang,Jl. I Wayan Lunga Tegallalang,-,50102094
42,MA 45 Gianyar,Jl. Astina Timur Gianyar,-,50102143
43,SMAN 1 Ubud,Jl. Suweta,-,50102004
44,SMA Saraswati Gianyar,Jl. Kesatrian No 28 Gianyar,-,50102074
45,SMA Saraswati Sukawati,Jl.Lettu Nengah Duaji Sukawati,-,50102075
46,SMA Sila Chandra Batubulan,Jl. Raya Batubulan,-,50102076
47,SMA WiyatadharMA Gianyar,Jl. Dalem Rai Gianyar,-,50102077
48,SMAN 1 Blahbatuh,Jl. Astina Jaya Blahbatuh,-,50102078
49,SMAN 1 Gianyar,Jl. Ratna Gianyar,-,50102079
50,SMAN 1 Payangan,Jl. Raya Payangan,-,50102080
51,SMAN 1 Sukawati,Jl. Lettu W. Suta Sukawati,-,50102081
52,SMAN 1 Tampaksiring,Jl. Pucak Tegeh Manukaya,-,50102082
53,SMA PGRI Gianyar 3 Ubud,Jl. Sukma,-,50102084
54,SMA Amarawati Tampaksiring,Jl. Surya Brata Tampaksiring,-,50102089
